food_name,calories,carbs,protein,fat
된장국_아욱,20,1.59,2.28,0.56
된장국_얼갈이배추,9,0.85,0.5,0.41
된장국_우거지,20,0.82,2.77,0.59
된장국_콩나물,31,2.62,2.58,1.11
된장국_해물,28,2.68,2.1,0.98
된장국_호박,31,1.41,3.34,1.31
된장국_호박잎,7,0.54,0.4,0.32
무국_소고기,15,1.1,1.33,0.64
무국_홍합,25,0.86,0.79,2.03
묵국_메밀묵,22,3.57,1.0,0.4
미역국,12,0.87,0.65,0.61
미역국_대합,11,0.56,1.23,0.45
미역국_새우,16,1.83,1.09,0.46
미역국_소고기,13,0.82,1.86,0.26
배추국_소고기,16,1.14,1.84,0.41
북어국,28,0.84,3.89,0.98
사골국,55,2.81,5.56,2.42
삼계탕,101,3.84,10.68,4.8
새우탕,33,2.0,5.17,0.44
설렁탕,24,0.36,4.26,0.58
순대국,85,14.95,2.35,1.75
어묵국(어묵탕),31,3.83,1.49,1.03
오징어국,18,0.73,2.22,0.73
육개장,30,1.49,3.68,0.99
육개장_닭고기,20,1.41,2.74,0.42
장어탕,67,3.68,4.32,3.91
재첩국,23,4.54,0.67,0.29
조개국,16,0.25,1.67,0.89
콩나물국,6,0.61,0.74,0.09
토란국,16,2.61,1.0,0.12
해장국_뼈다귀,26,1.06,3.19,0.97
해장국_선지,29,1.23,3.86,0.96
동태국,17,1.4,2.42,0.16
갈치찌개,38,1.95,5.27,1.0
감자탕,71,2.27,6.31,4.06
김치전골,73,5.68,3.12,4.23
김치찌개_꽁치,89,3.54,7.14,5.18
김치찌개_돼지고기,45,1.04,4.25,2.71
김치찌개_어묵,38,6.31,1.82,0.59
김치찌개_참치,51,2.9,3.59,2.82
김치찌개_햄,31,3.17,1.47,1.39
꽃게탕,17,1.44,1.86,0.41
낙지전골,51,3.72,6.5,1.14
동태찌개,44,1.72,6.11,1.37
돼지고기찌개,48,2.26,6.25,1.51
된장찌개,46,4.44,3.38,1.63
된장찌개_냉이,19,2.91,1.17,0.31
된장찌개_달래,35,3.81,3.18,0.79
된장찌개_두부,41,2.56,3.25,1.96
된장찌개_바지락,23,1.18,2.88,0.72
두부찌개_고추장,52,3.18,4.01,2.63
두부찌개_소고기_고추장,58,6.73,4.56,1.42
두부찌개_소고기_된장,55,3.5,5.71,1.98
매운탕_대구,22,0.19,4.49,0.4
매운탕_해물,35,2.51,4.85,0.64
버섯전골,78,4.78,5.14,4.24
부대찌개,123,10.27,5.86,6.49
샤브샤브_버섯,30,1.57,3.88,0.9
샤브샤브_소고기,43,1.8,5.38,1.62
소고기전골,63,0.46,7.89,3.24
순두부찌개_김치,35,2.17,2.98,1.59
알탕,39,1.74,6.37,0.74
오리백숙,112,0.5,10.59,7.5
오리탕,121,6.08,9.5,6.56
오징어찌개,34,4.77,3.3,0.22
청국장찌개,47,1.92,5.03,2.11
추어탕,54,3.07,3.24,3.18
콩비지찌개,69,3.57,6.74,3.08
호박찌개_고추장,41,5.96,2.08,0.99
고구마_찐고구마,139,32.47,1.67,0.24
가오리찜,102,0.46,21.99,1.39
갈비찜_소고기,85,6.95,7.25,3.17
감자_찐감자,70,15.01,2.16,0.16
깻잎찜,97,5.96,5.21,5.86
꼬막찜,96,6.97,12.03,2.28
꽈리고추찜,104,17.69,3.59,2.09
달걀찜_새우젓,58,0.47,4.98,4.04
달걀찜_우유,105,3.8,8.23,6.31
닭찜,107,0.6,12.37,6.09
돼지갈비찜,194,7.44,13.29,12.32
사태찜_소고기,110,3.67,12.1,5.17
수육_소고기,166,2.04,28.43,4.94
순대,187,35.73,2.75,3.64
아귀찜,84,7.26,6.72,3.13
애호박찜,181,21.18,9.5,6.48
옥수수_찐옥수수,185,34.2,6.68,2.42
족발,233,0.93,26.04,13.91
코다리찜,94,6.08,14.49,1.35
콩나물찜_해물,56,4.97,6.67,1.01
풋고추찜,51,8.27,2.31,0.99
